id,review,aspect,sentiment
856,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",soups,positive
856,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",kitchen,positive
856,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",cuisine,positive
2033,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",wine,positive
2033,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",french_fare,positive
2033,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",cheese,positive
1402,I love Indian food and consider myself to be quite an expert on it.,indian_food,positive
439,Some baby pizzas get their wish.,baby_pizzas,neutral
2053,Overall A oh ya even though there is waiting it is deff worth it,waiting,negative
3316,The lava cake dessert was incredible and I recommend it.,lava_cake_dessert,positive
433,VT is what baby pizzas hope to be when they grow up.,baby_pizzas,neutral
738,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",service,negative
738,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",food,negative
738,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",managers,negative
1549,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,positive
1549,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,positive
1798,The last time I went we were seated at a table in a corridor next to the kitchen.,table,negative
2941,good selection of wines ranging from affordable to high end.,selection_of_wines,positive
362,"Nice restaurant overall, with classic upscale Italian decor.",italian_decor,positive
2921,Not impressed with the food.,food,negative
1909,The entire dining experience was wonderful!,dining_experience,positive
1878,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,wine_selection,positive
1878,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,reservation,neutral
858,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,service,positive
858,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,maitre,positive
858,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,reservation,negative
3376,"Order the panang duck, it's fantastic.",panang_duck,positive
173,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",raw_vegatables,negative
1836,"Other than the crappy service from two individuals, it's great.",service,negative
1404,They have authentic Indian at amazin prices.,indian,positive
1404,They have authentic Indian at amazin prices.,prices,positive
1819,Ambiance- relaxed and stylish.,ambiance,positive
2639,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",bbq_salmon,positive
2639,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",sea_bass,positive
2639,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",crispy_duck,positive
1474,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,positive
1474,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,positive
1474,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",pizza,negative
1474,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",crust,neutral
2059,and yes Dal Bukhara is so dam good and so are all the kababs.,kababs,positive
2059,and yes Dal Bukhara is so dam good and so are all the kababs.,dal_bukhara,positive
926,I look forward to eating here again,eating,positive
2385,I've been coming here as a child and always come back for the taste.,taste,positive
2498,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,meal,positive
2498,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,price,positive
2469,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",glass_of_prosecco,positive
2469,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",mussels,positive
2469,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",glass_of_leaping_lizard,positive
567,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",food,neutral
567,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",creme_brulee,negative
567,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",sugar,negative
3517,The food always tastes fresh and served promptly.,food,positive
3517,The food always tastes fresh and served promptly.,served,positive
1599,The pizza here is delicious.,pizza,positive
2548,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",pizza,positive
2548,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",delivery,positive
2548,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",garlic_knots,positive
759,"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.",chinese_food,positive
3175,But who says Murray's is anything about service.,service,neutral
2209,"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",food,negative
1352,Hats off to the chef.,chef,positive
3537,"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",service,negative
3537,"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",teapot,positive
1743,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",pizza,positive
1743,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",fresh_mozzarella,positive
1743,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",cheese,negative
1321,Its an excellent place to relax and the food is one of the best in the city of New York.,place,positive
1321,Its an excellent place to relax and the food is one of the best in the city of New York.,food,positive
2907,"service is friendly, and never had a problem walking in and getting a table.",service,positive
2907,"service is friendly, and never had a problem walking in and getting a table.",getting_a_table,positive
1890,The atmosphere was crowded but it was a great bistro-type vibe.,bistro-type_vibe,positive
2588,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",waitress,negative
2588,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",tables,neutral
3130,The food was bland oily.,food,negative
709,"What is even better, is that the prices are very affordable as well, and the food is really good.",prices,positive
709,"What is even better, is that the prices are very affordable as well, and the food is really good.",food,positive
1198,The fish is fresh but the variety of fish is nothing out of ordinary.,fish,positive
1198,The fish is fresh but the variety of fish is nothing out of ordinary.,variety_of_fish,negative
2302,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",pesto_pizza,positive
2302,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",house_salad,positive
2302,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",bottle_of_wine,positive
2302,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",meal,positive
1110,"And Kruno, the beverage manager is the best bartender I have yet to come across.",bartender,positive
1110,"And Kruno, the beverage manager is the best bartender I have yet to come across.",beverage_manager,positive
973,"Ambiance and music funky, which I enjoy.",ambiance,positive
973,"Ambiance and music funky, which I enjoy.",music,positive
2132,"The food, drinks and service are clearly among the best in the city.",food,positive
2132,"The food, drinks and service are clearly among the best in the city.",drinks,positive
2132,"The food, drinks and service are clearly among the best in the city.",service,positive
231,I went there in late afternoon for some bite size food and refleshment with my date.,food,neutral
231,I went there in late afternoon for some bite size food and refleshment with my date.,refleshment,neutral
250,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",ambiance,positive
250,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",service,positive
250,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",foods,positive
250,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",tastes,positive
250,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",sommlier,positive
250,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",captain,positive
250,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",back_waiters,positive
2988,"Last time I went here, the waitress didn't come back after taking our order.",waitress,negative
3092,Try the tandoori salmon!,tandoori_salmon,positive
3686,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",atmosphere,positive
1922,"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",space,negative
1922,"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",service,positive
2454,I love the atmorphere @ peep!,atmorphere,positive
603,The service was attentive and her suggestions of menu items was right on the mark.,service,positive
603,The service was attentive and her suggestions of menu items was right on the mark.,menu_items,positive
678,The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.,three_course_meal,positive
1830,"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!",pizza,positive
2521,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",environment,positive
2521,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",food,negative
2521,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",service,negative
1918,"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.",crawfish_boiled,positive
2930,I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,reservation,neutral
887,What came to our table was burned beyond recognition and stringy.,table,neutral
2448,I had the Pad Thai and the noodles were sticky.,pad_thai,negative
2448,I had the Pad Thai and the noodles were sticky.,noodles,negative
3244,"So I've never actually been to M proper, but I've had it delivered a few times.",delivered,neutral
1478,"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.",values_for_your_money,positive
1413,"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.",lunch,positive
3129,The hostess is rude to the point of being offensive.,hostess,negative
2271,"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",food,positive
2271,"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",wait_building,negative
1554,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",corridor,negative
1554,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",space,negative
1554,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",counters,negative
1554,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",counter,negative
1554,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",entrees,neutral
2306,The food is great.,food,positive
1975,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,steaks,positive
1975,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,salads,positive
1975,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,sides,positive
3699,"Lunch came with pickels and slaw, no extra charge.",lunch,positive
3699,"Lunch came with pickels and slaw, no extra charge.",pickels_and_slaw,neutral
2875,Decent wine at reasonable prices.,wine,positive
2875,Decent wine at reasonable prices.,prices,positive
2303,All conveniently delivered right to the door.,delivered,positive
2513,even the wine by the glass was good.,wine_by_the_glass,positive
809,would have rather tried terrace in the sky or water club for that price,price,negative
141,This dish is my favorite and I always get it when I go there and never get tired of it.,dish,positive
3655,"I also ordered the Change Mojito, which was out of this world.",change_mojito,positive
2098,Okay service.,service,neutral
1624,The only thing more wonderful than the food (which is exceptional) is the service.,food,positive
1624,The only thing more wonderful than the food (which is exceptional) is the service.,service,positive
2377,"The food was just awful, ATROCIOUS actually.",food,negative
338,The soup for the udon was soy sauce and water.,soup_for_the_udon,negative
338,The soup for the udon was soy sauce and water.,soy_sauce,neutral
338,The soup for the udon was soy sauce and water.,water,neutral
1630,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",anti-pasta,positive
1630,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",calamari,positive
1630,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",filling_pasta_mains,positive
1907,The waitress suggested glasses of wine that went very well with the food.,waitress,positive
1907,The waitress suggested glasses of wine that went very well with the food.,food,neutral
1907,The waitress suggested glasses of wine that went very well with the food.,glasses_of_wine,positive
1535,"They might be all business at the counter when you give your order, but their food says I love you.",food,positive
1535,"They might be all business at the counter when you give your order, but their food says I love you.",counter,negative
3202,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",sushi,positive
3202,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",ceviche_mix_(special),positive
3202,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",crab_dumplings,positive
3202,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",assorted_sashimi,positive
3202,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",sushi,positive
3202,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",rolls,positive
3202,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",sake,positive
3202,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",banana_tempura,positive
449,Try their plain pizza with fresh garlic or eggplant.,plain_pizza,positive
449,Try their plain pizza with fresh garlic or eggplant.,garlic,positive
449,Try their plain pizza with fresh garlic or eggplant.,eggplant,positive
927,"Ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.",servers,negative
585,Good luck getting a table.,getting_a_table,negative
345,The service is awful.,service,negative
1494,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",takeout_menu,positive
1494,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",menu,positive
1494,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",italian_dishes,positive
3194,"I am not the most experienced person when it comes to Thai food, but my friend who took me there is.",thai_food,neutral
2393,Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes.,hostess,positive
1278,The pizza is good though.,pizza,positive
